CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Game 2: Spot It,,Identify all the pictures that match a specific focus word.,"Game 2: Select all the (example: school) - screen has multiple images from the theme, student choose all the school related pictures. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Sight Words,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Spot It,,find a target sight word from a group of options when they hear it spoken.,"Game 1: Tap all the words-> audio says a sight word, students have to click and choose the word. Interface can be flowers with the words (See ref image) or something simpler as given in the ref image. ",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,
Game 2: Trace It,,,Game 2: Trace the sight words,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Phonics 2 - Read the Chant,,Read and comprehend a simple chant containing the sounds learnt,Read a few lines of a chant that contain the words with sounds/blends learnt that session.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop (to fill in the blanks),,,Game 1: Drag and Drop - Find the missing word in the chant (existing game),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Tap and Speak,,,Game 2: Tap and Speak (existing game),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Read With Me ,,Read and comprehend a simple decodable passage.,Decodable texts containing the sounds learnt that week. 4 to 5 lines at the maximum. should also include the sight words of that week. (option to ask for help to read along) - Pyramid reading passages would be ideal for this stage. ,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,,,
Game 1: Drag and Drop,,,Game 1: Drag and drop // choose the correct answer works. WH questions. (existing game),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,,,
Game 2: Tap and Speak,,,Game 2: Tap and Speak (existing game),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 3: Reorder Jumbled Sentence,,,Game 3: Jumbled sentence with 4 words. Students order it correctly. ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,
Level 3  (Grade 4 and 5 roughly),Time ,Learning Outcome (general),Description ,L,LC,S,R,Rc,W,Grammar,,,,,,,
Week 1 Session 1 ,,,,,,,,,,,,,,,,,
Introduction to the Focus words + Rhyme Time,,"name core objects from everyday themes (Family, Emotions, etc.) using visual and audio cues.",,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
